Municipio;Codigo;Orden;U. Genera;Ejecucion;Duracion Odt;latitud;longitud
TUQUERRES;1192943;25664247;Facturacion;2023-04-25 08:47;00:09 Min;1.091687;-77.6268336
GUAITARILLA;428941;25695539;Ges. Energetica;2023-04-27 15:28;00:07 Min;1.1332234;-77.5484256
GUAITARILLA;1241270;25695544;Ges. Energetica;2023-04-27 14:00;00:09 Min;1.1301719;-77.5466953
TUQUERRES;304004;25695570;Ges. Energetica;2023-04-26 16:25;00:07 Min;1.0879597;-77.593615
TUQUERRES;1182050;25695688;Facturacion;2023-04-26 11:52;00:20 Min;1.0780027;-77.6174168
TUQUERRES;1182043;25695694;Facturacion;2023-04-26 14:29;00:31 Min;1.0779703;-77.6173369
TUQUERRES;1182056;25695695;Facturacion;2023-04-26 11:37;00:14 Min;1.0780187;-77.6173306
TUQUERRES;1182175;25695696;Facturacion;2023-04-26 15:05;00:15 Min;1.0778047;-77.6175244
TUQUERRES;1182111;25695697;Facturacion;2023-04-26 11:21;00:13 Min;1.0780673;-77.6173106
TUQUERRES;1182137;25695698;Facturacion;2023-04-26 10:56;00:23 Min;1.0781318;-77.6171897
TUQUERRES;1182053;25695705;Facturacion;2023-04-26 10:37;00:17 Min;1.0781627;-77.6171924
TUQUERRES;1181998;25695706;Facturacion;2023-04-26 10:17;00:15 Min;1.0777799;-77.6172385
TUQUERRES;1182088;25695710;Facturacion;2023-04-26 09:44;00:17 Min;1.0778419;-77.6171601
TUQUERRES;1182023;25695711;Facturacion;2023-04-26 10:02;00:15 Min;1.0778084;-77.6171299
TUQUERRES;1182099;25695712;Facturacion;2023-04-26 09:25;00:17 Min;1.0780142;-77.6170319
TUQUERRES;1182095;25695713;Facturacion;2023-04-26 09:03;00:19 Min;1.0779884;-77.6170034
SAPUYES;304926;25702214;Facturacion;2023-05-02 10:57;00:35 Min;1.0210435;-77.6847871
MALLAMA;8564582;25702915;Ges. Energetica;2023-04-28 07:38;03:46 Min;1.1562966;-77.87936
SAPUYES;8564584;25702938;Ges. Energetica;2023-05-08 10:21;02:56 Min;1.0114206;-77.6583742
MALLAMA;8564587;25702959;Ges. Energetica;2023-04-28 07:26;03:14 Min;1.1421307;-77.8664964
