Codigo;Orden;latitud;longitud
1209471;24205053;1.5965679,-77.0201869;
8561573;24205104;1.6796328,-77.0403778;
8518997;24205313;1.6693795,-77.0101157;
1253260;24205321;1.6693572,-77.010145;
1015125;24205325;1.669443,-77.0100933;
361468;24205333;1.6691483,-77.0103637;
467110;24205984;1.6693869,-77.0100874;
598194;24260484;1.6045517,-76.9666612;
412908;24261128;1.670725,-77.0120273;
1109072;24261241;1.6102408,-76.9660968;
477800;24261250;1.6101344,-76.9661292;
1094560;24261261;1.6716525,-76.9931371;
550355;24261276;1.6700822,-76.9891241;
363700;24261289;1.6699569,-76.9893591;
8561678;24261541;1.679143,-77.066101;
8561680;24261724;1.6331394,-77.0905456;
8519966;24263505;1.6646205,-77.0236789;
372730;24263728;1.5790622,-76.9653617;
613854;24263756;1.5957825,-77.0202503;
613768;24263760;1.595784,-77.0202359;
613842;24263764;1.5959908,-77.0205928;
371288;24263769;1.5955599,-77.0185244;
372124;24263774;1.5959546,-77.0146383;
1228614;24263787;1.4786756,-77.0174727;
373620;24263794;1.6044199,-76.9432082;
1225351;24264064;1.5121882,-77.0487199;
588401;24264094;1.5131078,-77.0479839;
1240612;24264150;1.6645826,-77.0013583;
1158226;24264164;1.596375,-77.0159535;
1221111;24264170;1.5970761,-77.0134933;
371656;24264178;1.5957601,-77.0159627;
1092423;24264180;1.5947619,-77.0177067;
1002879;24264193;1.525709,-77.0403868;
196646;24264259;1.4031936,-77.1148232;
373042;24264367;1.589961,-77.0416944;
1112306;24264377;1.59096,-77.0501191;
1077831;24264386;1.5697011,-76.9388636;
1012573;24264436;1.4144857,-77.1117454;
645758;24264439;1.5367173,-77.0087605;
8519838;24264445;1.623958,-76.9922024;
1002681;24264447;1.3289381,-77.0096644;
1125331;24264469;1.5475719,-76.9966571;
1140803;24264482;1.3951285,-77.0343948;
1181692;24264483;1.3998172,-77.0229651;
8535018;24264487;1.4098639,-77.0090891;
1157931;24264506;1.4003429,-77.1230002;
1182214;24264512;1.3999232,-77.1239987;
629982;24264518;1.40635,-77.106392;
645693;24264528;1.5803686,-76.969023;
1131973;24264533;1.580357,-76.9690527;
1209564;24264544;1.385326,-77.1352954;
8559844;24264571;1.571786,-76.9404245;
1151240;24264576;1.5165822,-77.0465233;
1110385;24264579;1.6538644,-77.0503725;
